GeneID,log2 FC,log10 p-value
NABP1,2.646832728,-2.151311576
NALT1,1.057857906,-2.585428256
NAT1,1.156439041,-3.469792945
NBPF1,1.046583435,-1.680004877
NBPF19,1.885622805,-2.966370606
NCF1,1.997851533,-1.427249221
NCF1B,2.100029963,-2.074437881
NCK1-DT,1.033720775,-1.641081495
NECAB2,3.711850281,-1.436664515
NFE2,2.334825254,-1.353163253
NHLRC4,1.099548158,-2.015483989
NHS,1.16982618,-1.307667841
NHSL2,2.001830903,-1.774138596
NIFK-AS1,1.271488214,-1.819549772
NLRC4,1.451574158,-1.827653939
NOTCH1,1.133897156,-1.411867947
NPB,1.745910617,-1.734482758
NT5C2,1.147709088,-1.810554774
NUAK2,1.471736756,-1.400643449
NUDT7,1.452943309,-1.33478407
OLFM2,2.34061335,-1.85067002
OLIG1,1.330191634,-3.032655325
OMA1,1.027407119,-1.959220497
OR52K1,3.088977532,-4.249368395
OR52K3P,1.666826722,-4.515142953
ORAI3,1.064387748,-1.331979682
OSER1-DT,1.251641347,-1.775962361
P2RX6,1.537241432,-1.606459482
P2RY13,2.67451997,-1.480293399
P2RY14,2.121434829,-4.485578019
PADI2,1.509635805,-2.018280896
PAGE2B,2.541350081,-2.781340102
PAN3-AS1,2.009568769,-3.386461553
PANK2-AS1,1.657667409,-2.257007443
PAQR8,1.740057832,-2.131465355
PARS2,2.314238189,-4.313518505
PDE4DIPP6,1.335730521,-1.35061157
PDLIM1P4,2.068288778,-2.537380401
PDZD3,1.586891412,-1.431150512
PEX11A,1.332156443,-2.375442809
PEX12,1.843504799,-1.58233957
PGAM1P8,1.176079743,-1.775120955
PGBD2,1.364262575,-1.415144461
PGM2,1.527992131,-1.451167216
PHF23,1.234266747,-1.437625533
PHOSPHO1,3.942657735,-1.581896601
PIGM,1.208795035,-2.366902491
PIGV,1.316593609,-3.577149904
PIK3R6,1.240960129,-2.660023515
PISD,1.717680234,-1.377589663
PKN2,1.219734066,-2.289994243
PLA2G4A,1.165599313,-3.059433254
PLBD1-AS1,1.489157084,-1.498181388
PLEKHG3,1.723268338,-2.19635553
POP1,1.297669268,-2.635433232
PPCDC,1.393730396,-2.36230165
PPIAP29,2.39357702,-1.843415838
PPIAP4,1.686626007,-2.968813636
PPM1F,1.159560445,-1.584149239
PPP1R3D,1.825764127,-1.577601239
PREPL,1.11996736,-1.54204776
PRKAR1A,1.039654323,-1.509467241
PROCA1,1.05947202,-2.784109223
PRSS33,5.312454158,-2.216585062
PSMA8,1.368164017,-1.962676279
PTGDR2,2.160817956,-5.278363682
PTPRN2,1.310000005,-1.505886461
RAB24,1.15684436,-4.458357364
RAB30-DT,1.507339113,-2.27312234
RAB33B,1.578072447,-1.338148745
RAB36,1.855630703,-1.504121926
RAD9B,1.353151575,-1.828256124
RBBP5,1.235238704,-3.313324981
RBM12B,1.254410993,-1.588929254
RCBTB2,1.175978117,-1.690596362
RCN3,1.609813253,-1.360608472
RERE-AS1,2.222823177,-1.802799783
RGL3,3.229175126,-1.508823315
